target_id,ra_deg,dec_deg,m_wfs_700nm_interp_mag,photons_per_subap_frame_est,n_detections,magnitude_system,wfs_wavelength_nm,bandwidth_nm,telescope_diameter_m,throughput,exposure_s,n_subapertures,source_class,source_note
PS1_101500836297539800,83.62982187,-5.40887426,18.871053333333332,0.010434988574487547,2,AB,700.0,150.0,2.0,0.25,0.001,25,direct_public_data,"MAST Pan-STARRS DR2 optical photometry converted to a WFS photon budget with the explicit AB-magnitude assumptions recorded in the magnitude_system/wfs_wavelength_nm/bandwidth_nm/telescope_diameter_m/throughput/exposure_s/n_subapertures columns; these are engineering estimates, not measured WFS photon telemetry."
PS1_101500836292338943,83.62918300402332,-5.4093241645352474,19.717419029629628,0.004785702520650189,6,AB,700.0,150.0,2.0,0.25,0.001,25,direct_public_data,"MAST Pan-STARRS DR2 optical photometry converted to a WFS photon budget with the explicit AB-magnitude assumptions recorded in the magnitude_system/wfs_wavelength_nm/bandwidth_nm/telescope_diameter_m/throughput/exposure_s/n_subapertures columns; these are engineering estimates, not measured WFS photon telemetry."
