scenario_name,enabled_effects,open_rms_nm,closed_rms_nm,closed_over_open_rms,strehl_J,strehl_H,strehl_K,open_strehl_H,ee50_J,ee50_H,ee50_K,ee80_J,ee80_H,ee80_K,command_rms_nm,command_peak_nm,saturated_actuator_frac,valid_centroid_frac,source_class,source_note,config_hash
ideal_static,static_phase+ideal_detector+zero_latency+high_stroke,61.47113116165583,1.0304232932717665,0.016762718918608723,0.9999712842181114,0.9999837910845009,0.9999908228187857,0.9468867783579432,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.97182531580755,0.9718253158075502,0.9718253158075502,424.02074934947944,258.607280293379,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,a3ebf56c04f0138bd007914f91561d77e1434e6b6c5a9f01f72c5bf5fc9db5df
dynamic_multilayer_proxy,multi_component_dynamic_phase,40.33072479788271,6.852973547113538,0.1699194244947789,0.9987785848567761,0.9993103733769185,0.9996094875512493,0.9766239379283779,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.97182531580755,0.9718253158075502,0.9718253158075502,288.29491542330493,189.84085243086437,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,1b54b92ea0441800b3df7061ffa0df216aa9fbbf3704c438bcb6bb1fbbb296fe
detector_noise,multi_component_dynamic_phase+detector_noise,39.71969308275361,6.993076973964293,0.17606070015180214,0.9987301178704142,0.9992830122549203,0.999593995115525,0.9773200664806213,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.97182531580755,0.9718253158075502,0.9718253158075502,288.8300605666722,190.1152508467152,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,b2e297b7e8c4f99a4869f41b43357255a9f3334c1f20905192c421f6cd07b520
latency,multi_component_dynamic_phase+latency_2_frames,39.31010927372189,27.15544168708601,0.6908004630055542,0.9811068274588601,0.989286258046221,0.9939184238527845,0.9777697937406876,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.9753188906453469,0.9718253158075502,0.9718253158075502,415.67611737391866,327.27440742987665,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,d861c745fa28e99b780a6792db5f8d2926cd2ecc9b4ca9eca5f9631994439243
stroke_limit,multi_component_dynamic_phase+dm_stroke_limit,40.25530451525036,10.152356238171032,0.25219921598965683,0.9973101730247134,0.9984802931479739,0.9991391257813018,0.9767004569163051,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.97182531580755,0.9718253158075502,0.9718253158075502,235.9601759473693,120.0,0.19230769230769232,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,de81dc9ca351c3d6d55a6bbf1eeb158ddd73d1f040af7bd0ca71041bfeeab5bb
misregistration,multi_component_dynamic_phase+wfs_dm_misregistration_proxy,39.91948968633397,8.512633169465698,0.21324503986281948,0.9981291580646512,0.9989428683973203,0.9994011187591172,0.9770673064736968,0.5270462766947298,0.5270462766947299,0.5270462766947299,0.97182531580755,0.9718253158075502,0.9718253158075502,287.3701112626658,189.84639458159347,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,e2ab643efdd09997acfc8450527f05af226c97eb175f663ac9099777f47f7e7e
ncpa,multi_component_dynamic_phase+science_path_ncpa,65.70837336940886,44.72119076387344,0.680601093447457,0.9495247954217956,0.9711931817405669,0.9835893785482195,0.9392206025684253,0.5270462766947298,0.5270462766947299,0.5270462766947299,1.178511301977579,0.9953476785947305,0.9718253158075502,288.5070631704674,189.45280291923808,0.0,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,496f0b1be114ddc1ac12d72cfd0263316db94e60ef364604289ef8a071449e0f
all_effects,multi_component_dynamic_phase+detector_noise+latency_2_frames+dm_stroke_limit+wfs_dm_misregistration_proxy+science_path_ncpa,70.00906339857924,48.348566629893966,0.6906043915290423,0.9412481260557523,0.9664104964913667,0.980845905363818,0.9312187383846495,0.5270462766947298,0.5270462766947299,0.5270462766947299,1.1785143175563009,1.0727545530126825,0.9718253158075502,273.1939144510392,120.0,0.23076923076923078,1.0,synthetic_assumed,Fast integration 8-scenario error-budget row.,0c295346001196b9da8c8db87f788e4b35f95a3fe1f4b90ac60bf20fe21c2997
