case,phase_rms_rad,strehl_peak_ratio,strehl_marechal
diffraction_limited,0.0,1.0,1.0
open_loop,0.9901879598164232,0.48346063177107357,0.3751339203745658
corrected,0.17823383276695615,0.9689507409596236,0.9687319806152511
