case,median_residual_rms_rad,median_residual_opd_nm,std_residual_opd_nm,h_band_strehl,final_command_norm,noise_std,read_noise_e,photons_per_subaperture,n_trials
read_noise_0e,1.8927087171105077,210.86376371287997,0.011084948505252828,0.5247902920996416,33.50604326293003,0.18000000000000002,0.0,100.0,3
read_noise_1e,1.8921985759166475,210.8069296680056,0.06014198434382784,0.5249727040858166,33.54042259688782,0.40249223594996214,1.0,100.0,3
read_noise_2e,1.89197085871994,210.7815600457675,0.20865727188363034,0.5250542181640087,33.593506521482475,0.7421590126111789,2.0,100.0,3
read_noise_5e,1.8917628835869653,210.7583898564503,0.6814194983785693,0.5251295138192374,33.76489753710112,1.80897761180176,5.0,100.0,3
read_noise_10e,1.8952259202642676,211.14420144016117,1.03252995295316,0.5238928462853115,34.06906971141952,3.604497191010141,10.0,100.0,3
read_noise_20e,1.9206557534354858,213.9772999960023,0.7356150254773359,0.514821519727107,34.73576280970291,7.20224964854732,20.0,100.0,3
read_noise_30e,1.9542442070493873,217.71933789242794,0.8859848885127231,0.5029028437182773,35.47514359441657,10.801499895847797,30.0,100.0,3
