condition_name,scenario_name,enabled_effects,atmosphere_source,phase_sequence_provenance,photon_source,seeing_arcsec,r0_500_m,tau0_s,theta0_rad,turbulence_speed_m_s,phase_amplitude_nm,photons_per_subap_frame,read_noise_e,latency_frames,latency_total_s,stroke_limit_nm,ncpa_rms_nm,misregistration_shift_x_px,misregistration_shift_y_px,misregistration_rotation_deg,misregistration_magnification,misregistration_shear,open_rms_nm,wfs_path_closed_rms_proxy_nm,science_path_closed_without_ncpa_proxy_nm,science_path_plus_ncpa_rms_nm,residual_decomposition_note,closed_rms_nm,closed_over_open_rms,strehl_J,strehl_H,strehl_K,command_rms_nm,command_peak_nm,saturated_actuator_frac,valid_centroid_frac,source_class,source_note,config_hash
nominal_synthetic,nominal_synthetic,synthetic_conditioned_phase_sequence+detector_noise+latency_1_frames+science_path_ncpa,synthetic nominal seeing proxy,synthetic phase sequence (no public atmosphere anchor),synthetic nominal fixed photon level,0.8,0.1263371938263465,0.0035,9.69627362219072e-06,10.0,260.0,8000.0,1.0,1,0.0,1000.0,15.0,0.0,0.0,0.0,1.0,0.0,46.64705768738234,9.681028118243391,9.681028118243391,17.852795451307315,WFS/science residual split is a public-data-informed synthetic diagnostic proxy. The core returns NCPA-added closed RMS; without-NCPA RMS is estimated by quadrature subtraction of the configured NCPA RMS.,17.852795451307315,0.3827207188704713,0.9917859632233721,0.9953549031026374,0.9973673118055373,311.9851646435596,239.43757319241791,0.0,1.0,synthetic_assumed,Notebook 11 nominal synthetic condition for regression comparison.,e9a4622ad3641288d18a297035e71023eca95903fe1e52f42ad6ebccc62a518c
paranal_night_asm,paranal_night_asm,eso_asm_conditioned_synthetic_phase_sequence+detector_noise+latency_1_frames+dm_stroke_limit+science_path_ncpa,ESO ASM nighttime direct_public_data cache,ESO-ASM-conditioned synthetic phase sequence,"engineering 200 photons/subap/frame level, not measured telemetry",0.7235,0.13969571527297858,0.003409,9.182371120214612e-06,10.84,235.13750000000002,200.0,1.0,1,0.001,500.0,25.0,0.0,0.0,0.0,1.0,0.0,44.353883623494966,57.06499546488004,57.06499546488004,62.30099282841951,WFS/science residual split is a public-data-informed synthetic diagnostic proxy. The core returns NCPA-added closed RMS; without-NCPA RMS is estimated by quadrature subtraction of the configured NCPA RMS.,62.30099282841951,1.4046344477356583,0.9048584452791751,0.9449693896026241,0.968414476347764,505.23226353351566,355.7927325201186,0.0,1.0,synthetic_assumed,"Notebook 11 public-data-informed synthetic AO condition: atmosphere and/or catalog photometry may come from public caches, while DM, detector, latency, NCPA, registration, and RTC behaviour remain synthetic engineering proxies.",ee9be8528750b377a7221b4bc660354f04449eda74b791260e532f5ff5838794
poor_seeing,poor_seeing,eso_asm_conditioned_synthetic_phase_sequence+detector_noise+latency_2_frames+dm_stroke_limit+wfs_dm_misregistration_proxy+science_path_ncpa,ESO ASM nighttime scaled engineering poor-seeing proxy,ESO-ASM-conditioned synthetic phase sequence,"engineering 200 photons/subap/frame level, not measured telemetry",1.15,0.0878867435313715,0.0023863,6.787391535533504e-06,13.008,373.75,200.0,1.5,2,0.002,220.0,35.0,0.4,0.0,0.15,1.0,0.0,65.12477168266823,72.09874670929966,72.09874670929966,80.14505148199575,WFS/science residual split is a public-data-informed synthetic diagnostic proxy. The core returns NCPA-added closed RMS; without-NCPA RMS is estimated by quadrature subtraction of the configured NCPA RMS.,80.14505148199575,1.2306385022356232,0.8485925650697577,0.9103857310418988,0.9482422205718839,465.6418140480612,220.0,0.23076923076923078,1.0,synthetic_assumed,"Notebook 11 public-data-informed synthetic AO condition: atmosphere and/or catalog photometry may come from public caches, while DM, detector, latency, NCPA, registration, and RTC behaviour remain synthetic engineering proxies.",81c9b4d2c1cebca4b43be06ea95405b9423e7cfa2b2f50b96091073ae3d5a078
faint_ngs,faint_ngs,eso_asm_conditioned_synthetic_phase_sequence+detector_noise+latency_2_frames+dm_stroke_limit+wfs_dm_misregistration_proxy+science_path_ncpa,ESO ASM nighttime direct_public_data cache,ESO-ASM-conditioned synthetic phase sequence,Pan-STARRS DR2 catalog-derived WFS photon estimate from PS1_101500836297539800,0.7235,0.13969571527297858,0.003409,9.182371120214612e-06,10.84,235.13750000000002,0.010434988574487547,3.0,2,0.002,180.0,45.0,0.5,0.0,0.2,1.0,0.0,58.835806054579805,37.903193455065626,37.903193455065626,58.835806054579805,WFS/science residual split is a public-data-informed synthetic diagnostic proxy. The core returns NCPA-added closed RMS; without-NCPA RMS is estimated by quadrature subtraction of the configured NCPA RMS.,58.835806054579805,1.0,0.9157162816818127,0.9511466761945615,0.9719233088923582,0.0,0.0,0.0,0.0,synthetic_assumed,"Notebook 11 public-data-informed synthetic AO condition: atmosphere and/or catalog photometry may come from public caches, while DM, detector, latency, NCPA, registration, and RTC behaviour remain synthetic engineering proxies.",99528c0e2186b279b5286a1cf75e26db6b7e85778e579fdef30724f6f852921c
stress_all_effects,stress_all_effects,eso_asm_conditioned_synthetic_phase_sequence+detector_noise+latency_3_frames+dm_stroke_limit+wfs_dm_misregistration_proxy+science_path_ncpa,ESO ASM nighttime scaled engineering stress proxy,ESO-ASM-conditioned synthetic phase sequence,Pan-STARRS DR2 catalog-derived WFS photon estimate from PS1_101500836297539800,1.25,0.08085580404886177,0.0020454,5.817764173314431e-06,15.175999999999998,406.25,0.010434988574487547,5.0,3,0.003,120.0,70.0,0.8,0.3,0.3,1.01,0.005,80.71882394363695,40.19363803941935,40.19363803941935,80.71882394363695,WFS/science residual split is a public-data-informed synthetic diagnostic proxy. The core returns NCPA-added closed RMS; without-NCPA RMS is estimated by quadrature subtraction of the configured NCPA RMS.,80.71882394363695,1.0,0.8468916908150648,0.909827120895351,0.9477079616227234,0.0,0.0,0.0,0.0,synthetic_assumed,"Notebook 11 public-data-informed synthetic AO condition: atmosphere and/or catalog photometry may come from public caches, while DM, detector, latency, NCPA, registration, and RTC behaviour remain synthetic engineering proxies.",b8232ade7d5b80ed0196484f3fef88422a989a8c5c61b6ef144ebf06792fa3b0
